video_frame,left,width,top,height,conf,class
58102_002798_Sideline_1,453,18,435,23,0.7744140625,0
58102_002798_Sideline_1,395,16,190,23,0.77197265625,0
58102_002798_Sideline_1,533,17,43,22,0.77099609375,0
58102_002798_Sideline_1,711,19,405,21,0.77099609375,0
58102_002798_Sideline_1,427,20,384,25,0.7705078125,0
58102_002798_Sideline_1,457,18,364,24,0.76953125,0
58102_002798_Sideline_1,355,18,42,21,0.767578125,0
58102_002798_Sideline_1,533,17,43,22,0.767578125,0
58102_002798_Sideline_1,701,17,333,21,0.76416015625,0
58102_002798_Sideline_1,457,18,365,23,0.76318359375,0
58102_002798_Sideline_1,533,16,43,22,0.76220703125,0
58102_002798_Sideline_1,394,17,191,21,0.7607421875,0
58102_002798_Sideline_1,426,22,383,25,0.7607421875,0
58102_002798_Sideline_1,456,14,284,22,0.76025390625,0
58102_002798_Sideline_1,701,17,334,20,0.7568359375,0
58102_002798_Sideline_1,701,18,333,21,0.7568359375,0
58102_002798_Sideline_1,392,19,452,21,0.7548828125,0
58102_002798_Sideline_1,453,18,434,23,0.75439453125,0
58102_002798_Sideline_1,457,18,364,23,0.74951171875,0
58102_002798_Sideline_1,456,15,284,22,0.74951171875,0
58102_002798_Sideline_1,453,19,435,22,0.7490234375,0
58102_002798_Sideline_1,1063,20,251,20,0.74560546875,0
58102_002798_Sideline_1,455,15,283,23,0.74365234375,0
58102_002798_Sideline_1,355,18,42,22,0.74267578125,0
58102_002798_Sideline_1,711,19,405,20,0.7412109375,0
58102_002798_Sideline_1,701,17,333,21,0.740234375,0
58102_002798_Sideline_1,711,19,405,20,0.73974609375,0
58102_002798_Sideline_1,456,15,283,24,0.72900390625,0
58102_002798_Sideline_1,391,20,452,21,0.72705078125,0
58102_002798_Sideline_1,702,17,333,21,0.724609375,0
58102_002798_Sideline_1,394,17,191,22,0.724609375,0
58102_002798_Sideline_1,385,19,407,23,0.70068359375,0
58102_002798_Sideline_2,193,23,351,22,0.82421875,0
58102_002798_Sideline_2,304,21,570,24,0.82177734375,0
58102_002798_Sideline_2,589,16,196,22,0.81982421875,0
58102_002798_Sideline_2,377,20,308,22,0.81884765625,0
58102_002798_Sideline_2,377,20,308,23,0.81396484375,0
58102_002798_Sideline_2,478,20,562,20,0.8134765625,0
58102_002798_Sideline_2,378,19,308,23,0.8115234375,0
58102_002798_Sideline_2,588,18,197,21,0.8115234375,0
58102_002798_Sideline_2,994,23,428,24,0.8095703125,0
58102_002798_Sideline_2,478,20,562,21,0.80322265625,0
58102_002798_Sideline_2,156,21,409,24,0.80322265625,0
58102_002798_Sideline_2,478,20,562,21,0.796875,0
58102_002798_Sideline_2,156,21,408,25,0.794921875,0
58102_002798_Sideline_2,381,19,351,23,0.79443359375,0
58102_002798_Sideline_2,426,21,384,24,0.79345703125,0
58102_002798_Sideline_2,534,16,42,22,0.7919921875,0
58102_002798_Sideline_2,194,21,351,22,0.791015625,0
58102_002798_Sideline_2,453,18,477,23,0.79052734375,0
58102_002798_Sideline_2,588,18,196,22,0.7880859375,0
58102_002798_Sideline_2,356,17,41,21,0.78662109375,0
58102_002798_Sideline_2,452,19,477,23,0.78662109375,0
58102_002798_Sideline_2,453,18,434,23,0.78662109375,0
58102_002798_Sideline_2,395,16,190,21,0.7861328125,0
58102_002798_Sideline_2,452,19,478,22,0.7841796875,0
58102_002798_Sideline_2,453,18,477,23,0.783203125,0
58102_002798_Sideline_2,381,20,351,24,0.783203125,0
58102_002798_Sideline_2,479,20,562,20,0.78271484375,0
58102_002798_Sideline_2,588,18,196,22,0.7822265625,0
58102_002798_Sideline_2,1064,20,250,21,0.78125,0
58102_002798_Sideline_2,452,19,434,23,0.78076171875,0
58102_002798_Sideline_2,589,17,197,21,0.77392578125,0
58102_002798_Sideline_2,533,17,43,21,0.7724609375,0
58102_002798_Sideline_2,711,19,405,20,0.77099609375,0
58102_002798_Sideline_2,355,18,40,22,0.7705078125,0
58102_002798_Sideline_2,456,15,284,22,0.76953125,0
58102_002798_Sideline_2,533,17,42,22,0.7685546875,0
58102_002798_Sideline_2,701,17,333,20,0.767578125,0
58102_002798_Sideline_2,457,18,364,23,0.76416015625,0
58102_002798_Sideline_2,355,18,41,21,0.76416015625,0
58102_002798_Sideline_2,701,17,333,20,0.76318359375,0
58102_002798_Sideline_2,533,16,43,21,0.7626953125,0
58102_002798_Sideline_2,395,16,190,21,0.76220703125,0
58102_002798_Sideline_2,426,21,384,24,0.76123046875,0
58102_002798_Sideline_2,380,21,351,24,0.76025390625,0
58102_002798_Sideline_2,395,17,190,21,0.75927734375,0
58102_002798_Sideline_2,392,19,451,22,0.7578125,0
58102_002798_Sideline_2,426,21,383,25,0.75732421875,0
58102_002798_Sideline_2,458,17,363,24,0.755859375,0
58102_002798_Sideline_2,453,18,477,22,0.75537109375,0
58102_002798_Sideline_2,456,15,284,22,0.7548828125,0
58102_002798_Sideline_2,456,14,284,21,0.75244140625,0
58102_002798_Sideline_2,453,19,435,22,0.7509765625,0
58102_002798_Sideline_2,457,18,365,23,0.75,0
58102_002798_Sideline_2,700,18,333,21,0.7490234375,0
58102_002798_Sideline_2,711,19,405,20,0.7412109375,0
58102_002798_Sideline_2,711,19,404,21,0.73828125,0
58102_002798_Sideline_2,391,20,452,21,0.73828125,0
58102_002798_Sideline_2,455,17,283,23,0.7353515625,0
58102_002798_Sideline_2,356,17,41,22,0.728515625,0
58102_002798_Sideline_2,711,18,404,20,0.72802734375,0
58102_002798_Sideline_2,374,20,430,22,0.72314453125,0
58102_002798_Sideline_2,701,17,333,20,0.71826171875,0
58102_002798_Sideline_2,456,15,283,23,0.70654296875,0
58102_002798_Sideline_3,303,22,570,24,0.8212890625,0
58102_002798_Sideline_3,377,20,308,22,0.8193359375,0
58102_002798_Sideline_3,589,17,196,21,0.81884765625,0
58102_002798_Sideline_3,193,22,350,22,0.818359375,0
58102_002798_Sideline_3,995,22,427,24,0.81591796875,0
58102_002798_Sideline_3,479,19,563,20,0.8134765625,0
58102_002798_Sideline_3,480,18,563,20,0.81103515625,0
58102_002798_Sideline_3,156,21,408,25,0.81005859375,0
58102_002798_Sideline_3,377,20,308,22,0.8095703125,0
58102_002798_Sideline_3,995,22,427,24,0.80810546875,0
58102_002798_Sideline_3,479,20,563,20,0.8076171875,0
58102_002798_Sideline_3,155,22,408,25,0.80517578125,0
58102_002798_Sideline_3,588,18,196,21,0.80078125,0
58102_002798_Sideline_3,355,17,40,22,0.79833984375,0
58102_002798_Sideline_3,395,16,189,22,0.79833984375,0
58102_002798_Sideline_3,589,16,196,21,0.79736328125,0
58102_002798_Sideline_3,479,20,564,19,0.79638671875,0
58102_002798_Sideline_3,589,17,196,22,0.794921875,0
58102_002798_Sideline_3,380,20,350,23,0.79443359375,0
58102_002798_Sideline_3,355,18,40,22,0.79443359375,0
58102_002798_Sideline_3,533,17,42,22,0.7919921875,0
58102_002798_Sideline_3,194,21,350,22,0.79052734375,0
58102_002798_Sideline_3,426,21,383,25,0.79052734375,0
58102_002798_Sideline_3,394,17,190,21,0.78955078125,0
58102_002798_Sideline_3,456,15,283,22,0.78857421875,0
58102_002798_Sideline_3,588,18,196,21,0.78759765625,0
58102_002798_Sideline_3,588,18,196,22,0.7841796875,0
58102_002798_Sideline_3,700,17,333,21,0.78369140625,0
58102_002798_Sideline_3,452,19,434,23,0.783203125,0
58102_002798_Sideline_3,355,17,40,22,0.7822265625,0
58102_002798_Sideline_3,452,18,476,22,0.78173828125,0
58102_002798_Sideline_3,378,19,308,23,0.78173828125,0
58102_002798_Sideline_3,699,18,333,21,0.78173828125,0
58102_002798_Sideline_3,452,18,476,22,0.77880859375,0
58102_002798_Sideline_3,355,17,40,22,0.77880859375,0
58102_002798_Sideline_3,452,18,477,22,0.77734375,0
58102_002798_Sideline_3,452,18,476,23,0.7763671875,0
58102_002798_Sideline_3,1064,20,249,22,0.775390625,0
58102_002798_Sideline_3,710,20,403,22,0.76953125,0
58102_002798_Sideline_3,380,21,350,24,0.76904296875,0
58102_002798_Sideline_3,699,19,333,20,0.767578125,0
58102_002798_Sideline_3,533,17,43,21,0.76611328125,0
58102_002798_Sideline_3,455,16,283,23,0.76416015625,0
58102_002798_Sideline_3,426,21,383,25,0.7607421875,0
58102_002798_Sideline_3,455,15,283,22,0.75927734375,0
58102_002798_Sideline_3,391,20,451,21,0.75830078125,0
58102_002798_Sideline_3,391,20,451,21,0.7568359375,0
58102_002798_Sideline_3,457,18,364,23,0.75439453125,0
58102_002798_Sideline_3,426,21,383,25,0.7529296875,0
58102_002798_Sideline_3,453,18,434,23,0.7529296875,0
58102_002798_Sideline_3,457,19,364,24,0.75048828125,0
58102_002798_Sideline_3,453,19,434,22,0.74609375,0
58102_002798_Sideline_3,457,18,365,23,0.74462890625,0
58102_002798_Sideline_3,711,18,403,21,0.74462890625,0
58102_002798_Sideline_3,457,19,363,24,0.74462890625,0
58102_002798_Sideline_3,377,20,308,23,0.74462890625,0
58102_002798_Sideline_3,395,16,190,20,0.74365234375,0
58102_002798_Sideline_3,455,16,283,23,0.74169921875,0
58102_002798_Sideline_3,710,19,403,21,0.73681640625,0
58102_002798_Sideline_3,193,22,350,22,0.7314453125,0
58102_002798_Sideline_3,373,20,429,23,0.724609375,0
58102_002798_Sideline_3,385,19,406,22,0.708984375,0
58102_002798_Sideline_3,711,18,404,21,0.70703125,0
58102_002798_Sideline_4,303,22,570,23,0.82080078125,0
58102_002798_Sideline_4,377,19,308,22,0.818359375,0
58102_002798_Sideline_4,588,18,197,20,0.8173828125,0
58102_002798_Sideline_4,193,22,350,22,0.81689453125,0
58102_002798_Sideline_4,303,21,570,23,0.81494140625,0
58102_002798_Sideline_4,480,19,563,20,0.81201171875,0
58102_002798_Sideline_4,995,23,427,24,0.81005859375,0
58102_002798_Sideline_4,155,22,408,25,0.8095703125,0
58102_002798_Sideline_4,377,20,307,23,0.80810546875,0
58102_002798_Sideline_4,377,20,308,22,0.806640625,0
58102_002798_Sideline_4,355,17,40,22,0.806640625,0
58102_002798_Sideline_4,155,22,408,25,0.8037109375,0
58102_002798_Sideline_4,355,17,40,22,0.79833984375,0
58102_002798_Sideline_4,426,21,383,25,0.794921875,0
58102_002798_Sideline_4,394,17,189,22,0.7939453125,0
58102_002798_Sideline_4,381,19,350,23,0.79296875,0
58102_002798_Sideline_4,426,20,384,24,0.7919921875,0
58102_002798_Sideline_4,533,17,42,22,0.79150390625,0
58102_002798_Sideline_4,480,20,564,19,0.791015625,0
58102_002798_Sideline_4,456,15,283,22,0.7890625,0
58102_002798_Sideline_4,588,18,196,22,0.787109375,0
58102_002798_Sideline_4,698,19,333,21,0.7861328125,0
58102_002798_Sideline_4,380,20,350,23,0.78564453125,0
58102_002798_Sideline_4,452,19,434,23,0.78125,0
58102_002798_Sideline_4,710,19,403,22,0.7783203125,0
58102_002798_Sideline_4,193,22,350,23,0.7763671875,0
58102_002798_Sideline_4,698,19,333,20,0.7744140625,0
58102_002798_Sideline_4,395,16,189,22,0.77392578125,0
58102_002798_Sideline_4,481,19,563,20,0.77392578125,0
58102_002798_Sideline_4,1064,20,249,22,0.7724609375,0
58102_002798_Sideline_4,589,17,197,21,0.7724609375,0
58102_002798_Sideline_4,452,17,476,22,0.7724609375,0
58102_002798_Sideline_4,452,17,476,22,0.76953125,0
58102_002798_Sideline_4,425,22,383,24,0.76953125,0
58102_002798_Sideline_4,451,19,477,21,0.76806640625,0
58102_002798_Sideline_4,455,16,283,23,0.76513671875,0
58102_002798_Sideline_4,710,18,403,20,0.7646484375,0
58102_002798_Sideline_4,456,15,283,22,0.763671875,0
58102_002798_Sideline_4,457,18,363,24,0.75830078125,0
58102_002798_Sideline_4,426,20,383,24,0.75732421875,0
58102_002798_Sideline_4,391,19,451,21,0.755859375,0
58102_002798_Sideline_4,391,20,451,21,0.75537109375,0
58102_002798_Sideline_4,377,19,308,23,0.75390625,0
58102_002798_Sideline_4,377,20,308,23,0.75146484375,0
58102_002798_Sideline_4,426,21,383,25,0.75146484375,0
58102_002798_Sideline_4,710,19,402,22,0.7509765625,0
58102_002798_Sideline_4,453,18,434,22,0.75048828125,0
58102_002798_Sideline_4,394,17,190,21,0.7490234375,0
58102_002798_Sideline_4,456,19,364,24,0.74853515625,0
58102_002798_Sideline_4,380,21,350,24,0.74755859375,0
58102_002798_Sideline_4,193,22,350,22,0.74560546875,0
58102_002798_Sideline_4,455,17,282,24,0.74462890625,0
58102_002798_Sideline_4,453,19,434,22,0.74365234375,0
58102_002798_Sideline_4,533,17,42,22,0.740234375,0
58102_002798_Sideline_4,710,18,403,21,0.73388671875,0
58102_002798_Sideline_4,589,16,196,21,0.73046875,0
58102_002798_Sideline_4,373,20,429,23,0.7294921875,0
58102_002798_Sideline_4,385,19,406,22,0.708984375,0
58102_002798_Sideline_4,385,19,406,23,0.705078125,0
58102_002798_Sideline_5,193,22,351,22,0.82470703125,0
58102_002798_Sideline_5,303,21,570,24,0.8232421875,0
58102_002798_Sideline_5,377,19,308,22,0.8203125,0
58102_002798_Sideline_5,303,21,570,24,0.81982421875,0
58102_002798_Sideline_5,995,23,428,23,0.8193359375,0
58102_002798_Sideline_5,589,16,197,21,0.8154296875,0
58102_002798_Sideline_5,588,18,197,21,0.814453125,0
58102_002798_Sideline_5,377,20,308,23,0.81298828125,0
58102_002798_Sideline_5,481,20,564,20,0.8095703125,0
58102_002798_Sideline_5,377,20,308,23,0.80859375,0
58102_002798_Sideline_5,155,21,408,25,0.80859375,0
58102_002798_Sideline_5,996,23,428,23,0.80517578125,0
58102_002798_Sideline_5,193,22,351,22,0.80322265625,0
58102_002798_Sideline_5,355,17,40,22,0.80126953125,0
58102_002798_Sideline_5,155,21,408,25,0.80029296875,0
58102_002798_Sideline_5,380,20,350,23,0.796875,0
58102_002798_Sideline_5,426,21,384,24,0.7958984375,0
58102_002798_Sideline_5,355,17,40,22,0.79443359375,0
58102_002798_Sideline_5,533,16,42,22,0.79248046875,0
58102_002798_Sideline_5,709,20,403,22,0.78857421875,0
58102_002798_Sideline_5,395,16,190,21,0.78759765625,0
58102_002798_Sideline_5,588,18,197,21,0.787109375,0
58102_002798_Sideline_5,456,15,283,23,0.787109375,0
58102_002798_Sideline_5,394,17,189,22,0.7861328125,0
58102_002798_Sideline_5,452,19,434,23,0.7861328125,0
58102_002798_Sideline_5,451,19,477,22,0.78173828125,0
58102_002798_Sideline_5,697,19,335,20,0.78125,0
58102_002798_Sideline_5,452,18,476,23,0.78076171875,0
58102_002798_Sideline_5,394,17,190,21,0.78076171875,0
58102_002798_Sideline_5,588,18,197,21,0.77978515625,0
58102_002798_Sideline_5,995,23,428,24,0.77880859375,0
58102_002798_Sideline_5,696,20,334,21,0.77783203125,0
58102_002798_Sideline_5,710,19,403,21,0.77734375,0
58102_002798_Sideline_5,380,21,351,23,0.77587890625,0
58102_002798_Sideline_5,589,17,197,21,0.77392578125,0
58102_002798_Sideline_5,533,17,42,22,0.77099609375,0
58102_002798_Sideline_5,1064,20,249,22,0.7705078125,0
58102_002798_Sideline_5,425,22,383,25,0.76953125,0
58102_002798_Sideline_5,710,19,403,21,0.7685546875,0
58102_002798_Sideline_5,697,19,334,21,0.765625,0
58102_002798_Sideline_5,452,17,477,22,0.76318359375,0
58102_002798_Sideline_5,455,16,283,22,0.76220703125,0
58102_002798_Sideline_5,456,15,283,23,0.76171875,0
58102_002798_Sideline_5,710,19,403,21,0.7607421875,0
58102_002798_Sideline_5,377,19,308,23,0.759765625,0
58102_002798_Sideline_5,452,18,435,22,0.75927734375,0
58102_002798_Sideline_5,456,20,364,23,0.75830078125,0
58102_002798_Sideline_5,426,20,383,25,0.75732421875,0
58102_002798_Sideline_5,452,19,434,23,0.75732421875,0
58102_002798_Sideline_5,534,16,43,21,0.751953125,0
58102_002798_Sideline_5,457,18,363,25,0.751953125,0
58102_002798_Sideline_5,456,19,364,24,0.74951171875,0
58102_002798_Sideline_5,456,15,283,22,0.7490234375,0
58102_002798_Sideline_5,453,18,435,22,0.748046875,0
58102_002798_Sideline_5,391,19,451,21,0.74560546875,0
58102_002798_Sideline_5,455,17,283,23,0.74365234375,0
58102_002798_Sideline_5,394,17,190,21,0.7421875,0
58102_002798_Sideline_5,457,19,363,24,0.73974609375,0
58102_002798_Sideline_5,380,20,350,24,0.73486328125,0
58102_002798_Sideline_5,533,16,42,22,0.716796875,0
58102_002798_Sideline_5,384,19,406,23,0.70654296875,0
58102_002798_Sideline_5,385,19,406,23,0.70556640625,0
58102_002798_Sideline_5,391,20,451,22,0.7021484375,0
58102_002798_Sideline_5,373,20,429,23,0.701171875,0
58102_002798_Sideline_6,193,22,351,24,0.8251953125,0
58102_002798_Sideline_6,589,17,198,21,0.8232421875,0
58102_002798_Sideline_6,303,22,570,25,0.82080078125,0
58102_002798_Sideline_6,303,21,570,25,0.8193359375,0
58102_002798_Sideline_6,377,19,308,23,0.81884765625,0
58102_002798_Sideline_6,377,20,308,23,0.814453125,0
58102_002798_Sideline_6,377,20,309,22,0.80859375,0
58102_002798_Sideline_6,482,20,566,21,0.8046875,0
58102_002798_Sideline_6,155,22,409,24,0.8046875,0
58102_002798_Sideline_6,193,22,351,23,0.80419921875,0
58102_002798_Sideline_6,482,21,566,20,0.80322265625,0
58102_002798_Sideline_6,378,18,309,22,0.80322265625,0
58102_002798_Sideline_6,997,23,428,23,0.80029296875,0
58102_002798_Sideline_6,426,21,384,24,0.79541015625,0
58102_002798_Sideline_6,155,22,408,25,0.794921875,0
58102_002798_Sideline_6,355,17,40,23,0.79248046875,0
58102_002798_Sideline_6,380,20,351,23,0.79150390625,0
58102_002798_Sideline_6,696,20,335,21,0.7900390625,0
58102_002798_Sideline_6,533,16,43,22,0.7890625,0
58102_002798_Sideline_6,452,18,434,23,0.7890625,0
58102_002798_Sideline_6,997,23,428,24,0.78857421875,0
58102_002798_Sideline_6,709,20,403,21,0.78662109375,0
58102_002798_Sideline_6,588,18,197,22,0.78564453125,0
58102_002798_Sideline_6,997,22,428,24,0.783203125,0
58102_002798_Sideline_6,395,16,190,22,0.78076171875,0
58102_002798_Sideline_6,456,15,283,23,0.779296875,0
58102_002798_Sideline_6,355,17,41,22,0.7783203125,0
58102_002798_Sideline_6,588,18,197,22,0.77783203125,0
58102_002798_Sideline_6,451,18,477,22,0.77783203125,0
58102_002798_Sideline_6,380,21,351,24,0.77734375,0
58102_002798_Sideline_6,451,18,477,22,0.77685546875,0
58102_002798_Sideline_6,394,17,190,21,0.7763671875,0
58102_002798_Sideline_6,452,17,476,23,0.77490234375,0
58102_002798_Sideline_6,589,17,198,21,0.77392578125,0
58102_002798_Sideline_6,697,18,335,20,0.7724609375,0
58102_002798_Sideline_6,355,17,41,21,0.77001953125,0
58102_002798_Sideline_6,710,19,403,20,0.76953125,0
58102_002798_Sideline_6,533,17,43,22,0.767578125,0
58102_002798_Sideline_6,1065,20,249,22,0.76611328125,0
58102_002798_Sideline_6,380,20,351,23,0.765625,0
58102_002798_Sideline_6,452,18,434,23,0.76513671875,0
58102_002798_Sideline_6,482,20,566,21,0.7646484375,0
58102_002798_Sideline_6,452,19,434,24,0.7646484375,0
58102_002798_Sideline_6,377,19,309,22,0.76416015625,0
58102_002798_Sideline_6,710,19,404,20,0.763671875,0
58102_002798_Sideline_6,534,16,43,21,0.7626953125,0
58102_002798_Sideline_6,451,17,477,22,0.76220703125,0
58102_002798_Sideline_6,452,19,434,23,0.76171875,0
58102_002798_Sideline_6,456,19,364,24,0.7607421875,0
58102_002798_Sideline_6,696,20,335,21,0.76025390625,0
58102_002798_Sideline_6,394,17,190,21,0.759765625,0
58102_002798_Sideline_6,456,15,283,23,0.75927734375,0
58102_002798_Sideline_6,426,20,383,25,0.7587890625,0
58102_002798_Sideline_6,456,16,283,23,0.75732421875,0
58102_002798_Sideline_6,455,16,283,23,0.751953125,0
58102_002798_Sideline_6,453,18,435,22,0.75048828125,0
58102_002798_Sideline_6,456,19,365,23,0.74658203125,0
58102_002798_Sideline_6,391,19,452,21,0.74609375,0
58102_002798_Sideline_6,456,16,283,23,0.7431640625,0
58102_002798_Sideline_6,426,21,383,25,0.7431640625,0
58102_002798_Sideline_6,457,18,363,25,0.7421875,0
58102_002798_Sideline_6,457,18,364,24,0.74169921875,0
58102_002798_Sideline_6,394,17,190,21,0.740234375,0
58102_002798_Sideline_6,589,17,198,20,0.71826171875,0
58102_002798_Sideline_6,374,19,430,22,0.70263671875,0
58102_002798_Sideline_6,385,19,407,23,0.701171875,0
58102_002798_Sideline_7,193,22,351,23,0.826171875,0
58102_002798_Sideline_7,590,16,198,21,0.82177734375,0
58102_002798_Sideline_7,303,22,570,25,0.8193359375,0
58102_002798_Sideline_7,377,20,309,22,0.818359375,0
58102_002798_Sideline_7,377,19,309,22,0.814453125,0
58102_002798_Sideline_7,378,18,309,22,0.80908203125,0
58102_002798_Sideline_7,155,22,409,24,0.80615234375,0
58102_002798_Sideline_7,589,17,198,21,0.8056640625,0
58102_002798_Sideline_7,483,20,567,20,0.802734375,0
58102_002798_Sideline_7,155,22,409,25,0.79931640625,0
58102_002798_Sideline_7,997,23,428,24,0.79736328125,0
58102_002798_Sideline_7,998,23,428,24,0.79638671875,0
58102_002798_Sideline_7,998,22,428,24,0.79345703125,0
58102_002798_Sideline_7,997,23,429,23,0.79296875,0
58102_002798_Sideline_7,193,22,351,23,0.79296875,0
58102_002798_Sideline_7,426,21,384,24,0.79296875,0
58102_002798_Sideline_7,155,22,409,24,0.79052734375,0
58102_002798_Sideline_7,355,18,41,22,0.78955078125,0
58102_002798_Sideline_7,381,19,351,23,0.78955078125,0
58102_002798_Sideline_7,484,20,567,21,0.78564453125,0
58102_002798_Sideline_7,452,19,434,23,0.78369140625,0
58102_002798_Sideline_7,709,20,404,20,0.783203125,0
58102_002798_Sideline_7,534,16,43,22,0.78271484375,0
58102_002798_Sideline_7,998,23,428,23,0.7822265625,0
58102_002798_Sideline_7,452,18,434,23,0.779296875,0
58102_002798_Sideline_7,355,17,40,23,0.77880859375,0
58102_002798_Sideline_7,394,17,191,21,0.77880859375,0
58102_002798_Sideline_7,451,18,477,22,0.7783203125,0
58102_002798_Sideline_7,395,16,190,22,0.77783203125,0
58102_002798_Sideline_7,451,18,477,22,0.77734375,0
58102_002798_Sideline_7,380,21,351,24,0.77685546875,0
58102_002798_Sideline_7,588,18,198,21,0.77685546875,0
58102_002798_Sideline_7,456,15,283,23,0.7763671875,0
58102_002798_Sideline_7,1065,20,249,21,0.76904296875,0
58102_002798_Sideline_7,380,20,351,24,0.76611328125,0
58102_002798_Sideline_7,451,17,477,22,0.765625,0
58102_002798_Sideline_7,696,19,336,20,0.765625,0
58102_002798_Sideline_7,355,18,40,23,0.76513671875,0
58102_002798_Sideline_7,710,19,404,19,0.76513671875,0
58102_002798_Sideline_7,696,19,336,20,0.76513671875,0
58102_002798_Sideline_7,483,21,567,21,0.7646484375,0
58102_002798_Sideline_7,451,18,477,22,0.7646484375,0
58102_002798_Sideline_7,710,19,405,19,0.76416015625,0
58102_002798_Sideline_7,394,17,191,21,0.76416015625,0
58102_002798_Sideline_7,452,18,435,22,0.76220703125,0
58102_002798_Sideline_7,533,17,43,22,0.76171875,0
58102_002798_Sideline_7,355,18,41,22,0.76123046875,0
58102_002798_Sideline_7,710,19,404,20,0.75830078125,0
58102_002798_Sideline_7,456,19,365,23,0.7578125,0
58102_002798_Sideline_7,377,19,309,23,0.755859375,0
58102_002798_Sideline_7,456,15,284,21,0.75537109375,0
58102_002798_Sideline_7,533,16,43,22,0.7529296875,0
58102_002798_Sideline_7,426,21,383,25,0.75146484375,0
58102_002798_Sideline_7,453,18,435,22,0.74755859375,0
58102_002798_Sideline_7,457,18,364,24,0.7451171875,0
58102_002798_Sideline_7,391,20,452,21,0.74462890625,0
58102_002798_Sideline_7,457,18,365,23,0.74365234375,0
58102_002798_Sideline_7,193,22,351,23,0.7431640625,0
58102_002798_Sideline_7,533,17,43,22,0.740234375,0
58102_002798_Sideline_7,457,18,365,24,0.73828125,0
58102_002798_Sideline_7,696,19,336,21,0.73779296875,0
58102_002798_Sideline_7,456,16,283,23,0.7373046875,0
58102_002798_Sideline_7,696,19,336,20,0.732421875,0
58102_002798_Sideline_7,394,17,190,22,0.7119140625,0
58102_002798_Sideline_8,193,22,351,23,0.82666015625,0
58102_002798_Sideline_8,303,21,570,24,0.8193359375,0
58102_002798_Sideline_8,303,22,570,25,0.81884765625,0
58102_002798_Sideline_8,377,20,308,22,0.8173828125,0
58102_002798_Sideline_8,377,20,308,23,0.814453125,0
58102_002798_Sideline_8,377,19,308,23,0.814453125,0
58102_002798_Sideline_8,590,16,198,20,0.810546875,0
58102_002798_Sideline_8,999,23,428,23,0.80859375,0
58102_002798_Sideline_8,156,21,409,24,0.8037109375,0
58102_002798_Sideline_8,378,18,308,23,0.80224609375,0
58102_002798_Sideline_8,1000,21,428,23,0.79736328125,0
58102_002798_Sideline_8,155,22,408,25,0.796875,0
58102_002798_Sideline_8,194,21,351,23,0.79296875,0
58102_002798_Sideline_8,485,20,567,21,0.79248046875,0
58102_002798_Sideline_8,426,21,384,24,0.79248046875,0
58102_002798_Sideline_8,381,19,351,23,0.7919921875,0
58102_002798_Sideline_8,452,19,434,23,0.7880859375,0
58102_002798_Sideline_8,355,18,41,21,0.78759765625,0
58102_002798_Sideline_8,534,16,43,22,0.783203125,0
58102_002798_Sideline_8,395,16,190,21,0.78271484375,0
58102_002798_Sideline_8,709,20,403,21,0.78271484375,0
58102_002798_Sideline_8,485,21,568,20,0.77978515625,0
58102_002798_Sideline_8,451,18,476,22,0.77880859375,0
58102_002798_Sideline_8,394,17,190,21,0.77783203125,0
