,video_frame,left,width,top,height,label
2012,57906_000718_Endzone_102,558,22,197,26,V21
2013,57906_000718_Endzone_102,717,21,431,21,H26
2014,57906_000718_Endzone_102,366,26,300,25,V39
2015,57906_000718_Endzone_102,977,24,333,26,V93
2016,57906_000718_Endzone_102,770,20,373,19,H14
2017,57906_000718_Endzone_102,497,22,265,23,V57
2018,57906_000718_Endzone_102,639,21,229,19,H68
2019,57906_000718_Endzone_102,551,23,253,22,H85
2020,57906_000718_Endzone_102,841,20,289,16,V91
2021,57906_000718_Endzone_102,541,18,216,18,V55
2022,57906_000718_Endzone_102,785,20,293,21,H67
2023,57906_000718_Endzone_102,807,22,297,26,H47
2024,57906_000718_Endzone_102,512,22,281,21,H87
2025,57906_000718_Endzone_102,665,20,233,22,V98
2026,57906_000718_Endzone_103,861,20,262,28,V58
2027,57906_000718_Endzone_103,739,21,250,28,H55
2028,57906_000718_Endzone_103,937,25,313,27,H72
2029,57906_000718_Endzone_103,716,21,434,21,H26
2030,57906_000718_Endzone_103,561,22,196,27,V21
2031,57906_000718_Endzone_103,699,21,244,21,H70
2032,57906_000718_Endzone_103,372,26,301,25,V39
2033,57906_000718_Endzone_103,977,25,331,27,V93
2034,57906_000718_Endzone_103,772,20,372,18,H14
2035,57906_000718_Endzone_103,641,23,229,20,H68
2036,57906_000718_Endzone_103,842,20,288,16,V91
2037,57906_000718_Endzone_103,541,19,215,20,V55
2038,57906_000718_Endzone_103,552,23,253,23,H85
2039,57906_000718_Endzone_103,498,23,264,22,V57
2040,57906_000718_Endzone_103,784,23,291,23,H67
2041,57906_000718_Endzone_103,667,23,234,23,V98
2042,57906_000718_Endzone_103,809,20,297,25,H47
2043,57906_000718_Endzone_103,516,22,278,21,H87
2044,57906_000718_Endzone_104,937,27,314,26,H72
2045,57906_000718_Endzone_104,562,22,195,28,V21
2046,57906_000718_Endzone_104,862,20,264,28,V58
2047,57906_000718_Endzone_104,740,22,252,27,V49
2048,57906_000718_Endzone_104,717,21,435,21,H26
2049,57906_000718_Endzone_104,701,23,245,22,H55
2050,57906_000718_Endzone_104,377,28,302,24,V39
2051,57906_000718_Endzone_104,774,20,370,19,H14
2052,57906_000718_Endzone_104,980,24,329,23,V93
2053,57906_000718_Endzone_104,543,19,214,19,H68
2054,57906_000718_Endzone_104,645,22,229,20,V98
2055,57906_000718_Endzone_104,500,22,264,21,H85
2056,57906_000718_Endzone_104,554,22,254,22,V55
2057,57906_000718_Endzone_104,841,21,283,17,V91
2058,57906_000718_Endzone_104,810,20,296,26,H47
2059,57906_000718_Endzone_104,785,24,292,21,H67
2060,57906_000718_Endzone_104,517,22,277,21,V57
2061,57906_000718_Endzone_104,671,21,234,22,H70
2062,57906_000718_Endzone_105,937,28,314,26,H72
2063,57906_000718_Endzone_105,742,21,254,28,V49
2064,57906_000718_Endzone_105,563,22,193,28,V21
2065,57906_000718_Endzone_105,383,27,302,24,V39
2066,57906_000718_Endzone_105,717,22,438,20,H26
2067,57906_000718_Endzone_105,981,24,326,25,V93
2068,57906_000718_Endzone_105,775,21,369,18,H14
2069,57906_000718_Endzone_105,705,22,245,23,H55
2070,57906_000718_Endzone_105,502,23,263,25,H85
2071,57906_000718_Endzone_105,864,20,265,29,V58
2072,57906_000718_Endzone_105,810,22,295,28,H47
2073,57906_000718_Endzone_105,648,22,228,24,H70
2074,57906_000718_Endzone_105,521,21,276,22,V57
2075,57906_000718_Endzone_105,556,22,254,23,V55
2076,57906_000718_Endzone_105,787,23,293,22,H67
2077,57906_000718_Endzone_105,545,19,213,19,H68
2078,57906_000718_Endzone_105,843,22,282,16,V91
2079,57906_000718_Endzone_105,672,23,232,23,V98
2081,57906_000718_Endzone_106,938,26,315,27,H72
2082,57906_000718_Endzone_106,389,27,303,24,V39
2083,57906_000718_Endzone_106,743,22,255,30,V49
2084,57906_000718_Endzone_106,717,21,441,19,H26
2085,57906_000718_Endzone_106,981,26,324,26,V93
2086,57906_000718_Endzone_106,706,23,246,22,H55
2087,57906_000718_Endzone_106,565,21,193,24,V21
2088,57906_000718_Endzone_106,778,20,367,20,H14
2089,57906_000718_Endzone_106,865,20,266,29,V58
2090,57906_000718_Endzone_106,650,22,228,20,V98
2091,57906_000718_Endzone_106,504,23,263,22,H85
2092,57906_000718_Endzone_106,558,22,253,23,V55
2093,57906_000718_Endzone_106,789,21,294,22,H67
2094,57906_000718_Endzone_106,547,19,212,19,H68
2095,57906_000718_Endzone_106,524,20,275,21,V57
2096,57906_000718_Endzone_106,811,20,295,25,H47
2097,57906_000718_Endzone_106,676,22,233,23,H70
2098,57906_000718_Endzone_106,846,21,280,19,V91
2099,57906_000718_Endzone_107,939,26,316,27,H72
2100,57906_000718_Endzone_107,983,24,323,25,V93
2101,57906_000718_Endzone_107,745,21,257,29,V49
2102,57906_000718_Endzone_107,395,27,303,24,V39
2103,57906_000718_Endzone_107,717,22,442,20,H26
2104,57906_000718_Endzone_107,566,21,192,23,V21
2105,57906_000718_Endzone_107,506,22,263,24,V57
2106,57906_000718_Endzone_107,780,19,367,19,H14
2107,57906_000718_Endzone_107,709,22,246,21,H55
2108,57906_000718_Endzone_107,527,20,276,19,H87
2109,57906_000718_Endzone_107,653,23,227,21,V98
2110,57906_000718_Endzone_107,867,19,269,24,V58
2111,57906_000718_Endzone_107,560,22,254,21,V55
2112,57906_000718_Endzone_107,812,20,295,26,H47
2113,57906_000718_Endzone_107,790,21,295,22,H67
2114,57906_000718_Endzone_107,551,17,210,19,H68
2115,57906_000718_Endzone_107,677,25,233,24,H70
2116,57906_000718_Endzone_107,845,20,278,19,V91
2117,57906_000718_Endzone_108,940,26,317,27,H72
2118,57906_000718_Endzone_108,983,26,320,26,V93
2119,57906_000718_Endzone_108,717,22,444,21,H26
2120,57906_000718_Endzone_108,712,22,246,22,H70
2121,57906_000718_Endzone_108,401,28,304,24,V39
2122,57906_000718_Endzone_108,746,21,258,26,H55
2123,57906_000718_Endzone_108,780,20,366,18,H14
2124,57906_000718_Endzone_108,567,23,192,25,V21
2125,57906_000718_Endzone_108,657,23,226,21,V55
2126,57906_000718_Endzone_108,507,23,263,24,V57
2127,57906_000718_Endzone_108,791,21,298,21,H67
2128,57906_000718_Endzone_108,553,19,208,20,H68
2129,57906_000718_Endzone_108,530,21,276,22,H87
2130,57906_000718_Endzone_108,562,23,254,21,H85
2131,57906_000718_Endzone_108,847,20,276,17,V91
2132,57906_000718_Endzone_108,813,20,297,24,H47
2133,57906_000718_Endzone_108,868,19,270,22,V58
2134,57906_000718_Endzone_108,867,20,270,22,V49
2135,57906_000718_Endzone_108,683,20,233,21,V98
2136,57906_000718_Endzone_109,985,26,320,26,V93
2137,57906_000718_Endzone_109,940,26,318,26,H72
2138,57906_000718_Endzone_109,717,22,445,21,H26
2139,57906_000718_Endzone_109,716,21,247,21,H70
2140,57906_000718_Endzone_109,749,20,259,28,H55
2141,57906_000718_Endzone_109,407,28,305,23,V39
2142,57906_000718_Endzone_109,783,19,365,17,H14
2143,57906_000718_Endzone_109,569,21,192,24,V21
2144,57906_000718_Endzone_109,662,22,226,22,V98
2145,57906_000718_Endzone_109,814,20,297,27,H47
2146,57906_000718_Endzone_109,850,21,272,19,V91
2147,57906_000718_Endzone_109,510,23,261,24,H85
2148,57906_000718_Endzone_109,533,20,275,18,V57
2149,57906_000718_Endzone_109,792,21,299,22,H67
2150,57906_000718_Endzone_109,567,22,255,22,V55
2151,57906_000718_Endzone_109,558,18,209,18,H68
2152,57906_000718_Endzone_109,872,18,272,22,V58
2153,57906_000718_Endzone_109,872,18,271,24,V49
207,57906_000718_Endzone_11,614,21,163,31,V23
208,57906_000718_Endzone_11,802,20,177,29,V98
209,57906_000718_Endzone_11,986,24,273,28,V27
210,57906_000718_Endzone_11,358,20,169,29,V57
211,57906_000718_Endzone_11,621,24,274,29,V58
212,57906_000718_Endzone_11,129,26,213,29,V39
213,57906_000718_Endzone_11,438,20,268,28,V49
214,57906_000718_Endzone_11,476,22,298,17,H68
215,57906_000718_Endzone_11,322,24,251,27,V21
216,57906_000718_Endzone_11,820,22,277,26,V93
217,57906_000718_Endzone_11,871,21,304,15,H81
218,57906_000718_Endzone_11,771,21,292,16,H67
219,57906_000718_Endzone_11,677,22,298,20,V91
220,57906_000718_Endzone_11,673,22,412,17,H72
221,57906_000718_Endzone_11,573,22,301,15,H70
222,57906_000718_Endzone_11,396,23,301,17,H85
223,57906_000718_Endzone_11,669,16,471,22,H47
224,57906_000718_Endzone_11,672,19,281,15,H14
225,57906_000718_Endzone_11,668,17,471,22,H26
226,57906_000718_Endzone_11,314,18,313,16,H87
227,57906_000718_Endzone_11,672,19,280,16,H55
228,57906_000718_Endzone_11,314,17,317,13,V55
2155,57906_000718_Endzone_110,941,26,318,26,H72
2156,57906_000718_Endzone_110,987,27,319,27,V93
2157,57906_000718_Endzone_110,750,20,259,28,H55
2158,57906_000718_Endzone_110,718,22,248,22,H70
2159,57906_000718_Endzone_110,717,22,447,21,H14
2160,57906_000718_Endzone_110,414,27,305,24,V39
2161,57906_000718_Endzone_110,783,20,363,19,H26
2162,57906_000718_Endzone_110,666,23,227,21,V98
2163,57906_000718_Endzone_110,571,19,191,25,V21
2164,57906_000718_Endzone_110,815,20,298,28,H47
2165,57906_000718_Endzone_110,852,22,270,19,V49
2166,57906_000718_Endzone_110,793,22,298,23,H67
2167,57906_000718_Endzone_110,536,20,273,21,H87
2168,57906_000718_Endzone_110,560,18,205,21,H68
2169,57906_000718_Endzone_110,511,24,260,19,V57
2170,57906_000718_Endzone_110,571,24,250,25,H85
2171,57906_000718_Endzone_110,584,24,249,26,V55
2172,57906_000718_Endzone_110,874,16,272,19,V91
2173,57906_000718_Endzone_110,875,17,272,19,V58
2176,57906_000718_Endzone_111,942,25,319,26,H72
2177,57906_000718_Endzone_111,751,21,259,29,H55
2178,57906_000718_Endzone_111,717,21,450,20,H14
2179,57906_000718_Endzone_111,721,22,248,22,H70
2180,57906_000718_Endzone_111,988,27,317,27,V93
2181,57906_000718_Endzone_111,420,27,305,23,V39
2182,57906_000718_Endzone_111,783,22,360,21,H26
2183,57906_000718_Endzone_111,815,20,299,29,H47
2184,57906_000718_Endzone_111,515,24,260,24,V57
2185,57906_000718_Endzone_111,669,24,226,23,V98
2186,57906_000718_Endzone_111,791,24,298,25,H67
2187,57906_000718_Endzone_111,539,22,274,21,H87
2188,57906_000718_Endzone_111,855,20,268,18,V49
2189,57906_000718_Endzone_111,570,22,251,26,H85
2190,57906_000718_Endzone_111,571,20,191,24,H68
2191,57906_000718_Endzone_111,572,19,191,24,V21
2192,57906_000718_Endzone_111,875,17,270,19,V58
2193,57906_000718_Endzone_111,563,20,204,23,V55
2194,57906_000718_Endzone_111,875,15,270,19,V91
2198,57906_000718_Endzone_112,752,22,259,28,V49
2199,57906_000718_Endzone_112,942,26,319,26,H72
2200,57906_000718_Endzone_112,717,21,452,20,H14
2201,57906_000718_Endzone_112,989,27,317,23,V93
2202,57906_000718_Endzone_112,427,27,304,24,V39
2203,57906_000718_Endzone_112,784,21,359,20,H26
2204,57906_000718_Endzone_112,723,22,249,22,H55
2205,57906_000718_Endzone_112,815,20,300,29,V91
2206,57906_000718_Endzone_112,542,20,274,20,H87
2207,57906_000718_Endzone_112,859,20,265,19,H47
2208,57906_000718_Endzone_112,672,23,226,21,V98
2209,57906_000718_Endzone_112,518,22,259,21,V57
2210,57906_000718_Endzone_112,791,23,302,23,H67
2211,57906_000718_Endzone_112,573,18,191,22,H68
2212,57906_000718_Endzone_112,573,17,251,23,H85
2213,57906_000718_Endzone_112,572,18,252,22,V21
2214,57906_000718_Endzone_112,596,18,249,25,H70
2215,57906_000718_Endzone_112,568,19,204,19,V55
2216,57906_000718_Endzone_112,878,17,267,19,V23
2217,57906_000718_Endzone_112,877,18,268,19,V58
2220,57906_000718_Endzone_113,755,21,260,28,H87
2221,57906_000718_Endzone_113,717,21,455,20,H26
2222,57906_000718_Endzone_113,944,26,318,28,H72
2223,57906_000718_Endzone_113,432,28,304,24,V39
2224,57906_000718_Endzone_113,990,27,316,23,H81
2225,57906_000718_Endzone_113,724,23,248,24,V58
2226,57906_000718_Endzone_113,815,22,302,29,H47
2227,57906_000718_Endzone_113,787,21,356,20,V93
2228,57906_000718_Endzone_113,520,23,259,19,V57
2229,57906_000718_Endzone_113,678,23,227,21,V49
2230,57906_000718_Endzone_113,862,19,264,17,V91
2231,57906_000718_Endzone_113,546,20,273,20,V55
2232,57906_000718_Endzone_113,574,17,191,21,V21
2233,57906_000718_Endzone_113,880,16,266,15,H67
2234,57906_000718_Endzone_113,575,15,252,23,V98
2235,57906_000718_Endzone_113,701,20,233,21,H55
2236,57906_000718_Endzone_113,570,20,202,20,H68
2237,57906_000718_Endzone_113,701,20,232,22,H70
2238,57906_000718_Endzone_113,735,27,248,30,H85
2239,57906_000718_Endzone_113,880,17,266,15,V27
2241,57906_000718_Endzone_114,756,20,260,27,V49
2242,57906_000718_Endzone_114,439,27,303,26,V39
2243,57906_000718_Endzone_114,992,25,315,24,V93
2244,57906_000718_Endzone_114,716,21,456,21,H14
2245,57906_000718_Endzone_114,727,23,249,23,H55
2246,57906_000718_Endzone_114,945,25,318,28,H72
2247,57906_000718_Endzone_114,790,21,353,22,H47
2248,57906_000718_Endzone_114,522,23,258,22,H85
2249,57906_000718_Endzone_114,817,21,304,29,H67
2250,57906_000718_Endzone_114,682,23,228,22,H68
2251,57906_000718_Endzone_114,864,20,263,16,V91
2252,57906_000718_Endzone_114,546,21,272,22,V57
2253,57906_000718_Endzone_114,703,23,232,23,H70
2254,57906_000718_Endzone_114,575,15,191,28,V21
2255,57906_000718_Endzone_114,577,13,252,23,V55
2256,57906_000718_Endzone_114,703,23,232,23,V98
2259,57906_000718_Endzone_115,756,21,260,27,V49
2260,57906_000718_Endzone_115,715,23,458,22,H14
2261,57906_000718_Endzone_115,992,26,316,23,V93
2262,57906_000718_Endzone_115,729,23,249,23,H55
2263,57906_000718_Endzone_115,866,20,262,18,V91
2264,57906_000718_Endzone_115,445,27,303,26,V39
2265,57906_000718_Endzone_115,945,25,319,28,H72
2266,57906_000718_Endzone_115,792,22,351,21,H47
2267,57906_000718_Endzone_115,524,24,258,22,V55
2268,57906_000718_Endzone_115,685,23,229,22,H68
2269,57906_000718_Endzone_115,820,21,306,29,H67
2270,57906_000718_Endzone_115,549,22,272,23,V57
2271,57906_000718_Endzone_115,577,12,191,27,V21
2272,57906_000718_Endzone_115,707,22,232,22,V98
2273,57906_000718_Endzone_115,708,20,233,21,H70
2274,57906_000718_Endzone_116,757,20,260,28,V49
2275,57906_000718_Endzone_116,451,27,304,25,V39
2276,57906_000718_Endzone_116,993,26,316,24,V93
2277,57906_000718_Endzone_116,868,20,260,19,V58
2278,57906_000718_Endzone_116,946,24,318,27,H72
2279,57906_000718_Endzone_116,715,22,463,20,H14
2280,57906_000718_Endzone_116,730,22,250,23,H55
2281,57906_000718_Endzone_116,526,24,258,23,H85
2282,57906_000718_Endzone_116,689,23,229,24,H70
2283,57906_000718_Endzone_116,795,20,350,19,H47
2284,57906_000718_Endzone_116,551,21,273,21,V57
2285,57906_000718_Endzone_116,577,11,191,26,V21
2286,57906_000718_Endzone_116,710,22,233,23,V98
2287,57906_000718_Endzone_116,822,20,312,26,V91
2288,57906_000718_Endzone_116,805,18,310,24,H67
2289,57906_000718_Endzone_116,572,15,255,17,V55
2290,57906_000718_Endzone_117,759,20,261,28,V49
2291,57906_000718_Endzone_117,994,26,316,25,V93
2292,57906_000718_Endzone_117,946,24,317,28,H72
2293,57906_000718_Endzone_117,870,21,260,20,V58
2294,57906_000718_Endzone_117,713,22,465,21,H14
2295,57906_000718_Endzone_117,457,27,303,25,V39
2296,57906_000718_Endzone_117,731,22,250,23,H55
2297,57906_000718_Endzone_117,528,23,258,23,H85
2298,57906_000718_Endzone_117,692,23,229,25,H70
2299,57906_000718_Endzone_117,798,19,348,19,H47
2300,57906_000718_Endzone_117,553,21,273,20,V57
2301,57906_000718_Endzone_117,578,13,193,24,V21
2302,57906_000718_Endzone_117,806,19,312,23,H67
2303,57906_000718_Endzone_117,713,22,233,23,V98
2304,57906_000718_Endzone_117,835,22,308,24,V91
2305,57906_000718_Endzone_117,593,14,253,22,V55
2306,57906_000718_Endzone_118,995,25,317,25,V93
2307,57906_000718_Endzone_118,759,21,261,29,V49
2308,57906_000718_Endzone_118,712,23,468,22,H14
2309,57906_000718_Endzone_118,947,25,316,29,H72
2310,57906_000718_Endzone_118,871,21,260,20,V58
2311,57906_000718_Endzone_118,463,25,304,24,V39
2312,57906_000718_Endzone_118,530,23,258,22,H85
2313,57906_000718_Endzone_118,731,23,250,23,H55
2314,57906_000718_Endzone_118,693,24,229,25,H70
2315,57906_000718_Endzone_118,807,19,314,23,H67
2316,57906_000718_Endzone_118,555,21,273,20,V57
2317,57906_000718_Endzone_118,800,18,348,18,H47
2318,57906_000718_Endzone_118,826,27,309,28,V91
2319,57906_000718_Endzone_118,578,11,192,21,V21
2320,57906_000718_Endzone_118,716,21,233,22,V98
2323,57906_000718_Endzone_119,946,27,315,27,H72
2324,57906_000718_Endzone_119,995,25,317,26,V93
2325,57906_000718_Endzone_119,712,21,471,21,H14
2326,57906_000718_Endzone_119,872,23,261,19,V58
2327,57906_000718_Endzone_119,760,21,263,30,V49
2328,57906_000718_Endzone_119,468,27,304,24,V39
2329,57906_000718_Endzone_119,532,23,257,24,H85
2330,57906_000718_Endzone_119,831,26,313,27,V91
2331,57906_000718_Endzone_119,732,22,251,22,H55
2332,57906_000718_Endzone_119,802,20,341,21,H47
2333,57906_000718_Endzone_119,807,19,315,21,H67
2334,57906_000718_Endzone_119,695,24,230,24,V98
2335,57906_000718_Endzone_119,556,21,273,20,V57
2336,57906_000718_Endzone_119,593,20,252,20,V55
2337,57906_000718_Endzone_119,580,17,190,20,V21
2338,57906_000718_Endzone_119,718,22,234,24,H70
229,57906_000718_Endzone_12,614,21,163,31,V23
230,57906_000718_Endzone_12,986,24,273,28,V27
231,57906_000718_Endzone_12,802,20,177,29,V98
232,57906_000718_Endzone_12,358,20,169,29,V57
233,57906_000718_Endzone_12,620,25,274,29,V58
234,57906_000718_Endzone_12,129,26,214,28,V39
235,57906_000718_Endzone_12,322,24,251,27,V21
236,57906_000718_Endzone_12,439,20,268,27,V49
237,57906_000718_Endzone_12,476,21,298,16,H68
238,57906_000718_Endzone_12,820,22,276,27,V93
239,57906_000718_Endzone_12,872,21,304,15,H81
240,57906_000718_Endzone_12,773,22,291,16,H67
241,57906_000718_Endzone_12,678,22,297,21,V91
242,57906_000718_Endzone_12,397,23,300,17,H85
243,57906_000718_Endzone_12,673,22,412,17,H72
244,57906_000718_Endzone_12,573,21,300,15,H70
245,57906_000718_Endzone_12,669,17,472,22,H26
246,57906_000718_Endzone_12,672,19,280,15,H14
247,57906_000718_Endzone_12,669,16,470,24,H47
248,57906_000718_Endzone_12,672,19,279,16,H55
249,57906_000718_Endzone_12,314,17,318,12,V55
250,57906_000718_Endzone_12,314,18,315,14,H87
2340,57906_000718_Endzone_120,947,27,314,26,H72
2341,57906_000718_Endzone_120,474,26,304,24,V39
2342,57906_000718_Endzone_120,710,22,474,21,H14
2343,57906_000718_Endzone_120,995,25,318,26,V93
2344,57906_000718_Endzone_120,761,20,265,29,V49
2345,57906_000718_Endzone_120,873,22,260,20,V91
2346,57906_000718_Endzone_120,533,24,257,23,H85
2347,57906_000718_Endzone_120,735,20,252,20,H55
2348,57906_000718_Endzone_120,807,19,315,21,H67
2349,57906_000718_Endzone_120,592,21,249,24,V55
2350,57906_000718_Endzone_120,804,18,337,21,H47
2351,57906_000718_Endzone_120,557,20,273,20,V57
2352,57906_000718_Endzone_120,699,23,229,25,V98
2353,57906_000718_Endzone_120,585,15,187,21,V21
2354,57906_000718_Endzone_120,722,21,235,24,H70
2356,57906_000718_Endzone_121,709,22,478,19,H14
2357,57906_000718_Endzone_121,479,26,304,23,V39
2358,57906_000718_Endzone_121,948,26,313,25,H72
2359,57906_000718_Endzone_121,995,25,320,25,V93
2360,57906_000718_Endzone_121,761,20,265,29,V49
2361,57906_000718_Endzone_121,874,23,260,20,V58
2362,57906_000718_Endzone_121,535,23,256,24,H85
2363,57906_000718_Endzone_121,735,22,252,21,H55
2364,57906_000718_Endzone_121,808,19,315,23,H67
2365,57906_000718_Endzone_121,593,22,247,23,V55
2366,57906_000718_Endzone_121,805,20,339,19,V91
2367,57906_000718_Endzone_121,837,20,317,25,H47
2368,57906_000718_Endzone_121,701,23,230,25,V98
2369,57906_000718_Endzone_121,558,19,272,21,V57
2370,57906_000718_Endzone_121,586,15,188,21,V21
2371,57906_000718_Endzone_121,725,20,236,23,H70
2373,57906_000718_Endzone_122,947,29,313,26,H72
2374,57906_000718_Endzone_122,994,26,321,25,V93
2375,57906_000718_Endzone_122,707,22,479,20,H14
2376,57906_000718_Endzone_122,484,26,303,24,V39
2377,57906_000718_Endzone_122,760,22,264,31,V49
2378,57906_000718_Endzone_122,873,22,259,21,V58
2379,57906_000718_Endzone_122,736,21,252,22,H55
2380,57906_000718_Endzone_122,807,20,337,19,H47
2381,57906_000718_Endzone_122,536,24,256,25,H85
2382,57906_000718_Endzone_122,701,24,228,27,H70
2383,57906_000718_Endzone_122,807,19,316,22,H67
2384,57906_000718_Endzone_122,593,23,248,23,V55
2385,57906_000718_Endzone_122,558,20,270,23,V57
2386,57906_000718_Endzone_122,585,17,188,23,V21
2388,57906_000718_Endzone_123,947,29,312,27,H72
2389,57906_000718_Endzone_123,991,27,323,26,V93
2390,57906_000718_Endzone_123,706,22,481,21,H14
2391,57906_000718_Endzone_123,487,28,303,24,V39
2392,57906_000718_Endzone_123,759,21,266,30,V49
2393,57906_000718_Endzone_123,736,23,253,23,H55
2394,57906_000718_Endzone_123,873,23,259,20,V58
2395,57906_000718_Endzone_123,537,24,256,25,V57
2396,57906_000718_Endzone_123,703,23,229,28,H70
2397,57906_000718_Endzone_123,808,19,336,19,H47
2398,57906_000718_Endzone_123,583,19,187,24,H68
2399,57906_000718_Endzone_123,594,22,247,21,V55
2400,57906_000718_Endzone_123,807,17,317,20,H67
2401,57906_000718_Endzone_123,583,20,187,24,V21
2403,57906_000718_Endzone_124,949,27,312,26,H72
2404,57906_000718_Endzone_124,990,27,325,26,V93
2405,57906_000718_Endzone_124,703,23,483,22,H14
2406,57906_000718_Endzone_124,493,26,303,24,V39
2407,57906_000718_Endzone_124,737,21,254,22,H55
2408,57906_000718_Endzone_124,871,24,258,22,V58
2409,57906_000718_Endzone_124,758,22,268,27,V49
2410,57906_000718_Endzone_124,591,24,246,22,V55
2411,57906_000718_Endzone_124,581,21,186,24,V21
2412,57906_000718_Endzone_124,703,24,229,28,H70
2413,57906_000718_Endzone_124,808,20,333,20,V91
2414,57906_000718_Endzone_124,538,23,255,25,V57
2415,57906_000718_Endzone_124,805,19,317,21,H67
2417,57906_000718_Endzone_125,948,29,312,25,H72
2418,57906_000718_Endzone_125,701,22,486,21,H14
2419,57906_000718_Endzone_125,988,26,329,25,V93
2420,57906_000718_Endzone_125,756,21,270,28,V49
2421,57906_000718_Endzone_125,737,22,255,23,H55
2422,57906_000718_Endzone_125,497,24,303,22,V39
2423,57906_000718_Endzone_125,591,24,245,23,V55
2424,57906_000718_Endzone_125,580,22,183,25,V21
